promedio_asistencia,promedio_seguimiento,nota_parcial_1,inicios_sesion_plataforma,uso_tutorias,riesgo_reprobacion
82.5,2.9,2.5,38,0,1
72.9,2.9,2.8,50,0,0
84.7,1.9,2.5,48,0,1
97.8,3.0,3.1,34,0,0
71.5,3.7,4.0,38,0,0
71.5,2.3,2.4,38,1,0
98.7,3.9,3.8,28,1,0
86.5,3.5,2.4,45,1,0
68.0,2.7,2.3,44,0,1
83.1,3.1,3.7,32,0,0
68.0,4.3,3.7,45,0,0
68.0,3.7,3.7,38,1,0
78.6,3.2,1.9,38,0,1
46.3,3.0,2.6,37,0,1
49.1,3.3,3.7,34,0,1
66.6,2.8,3.0,32,0,1
59.8,1.7,2.1,52,1,1
79.7,4.6,3.4,51,0,0
61.4,3.3,2.4,37,0,0
53.8,3.5,4.4,44,0,0
97.0,3.2,4.2,51,0,0
71.6,2.7,3.5,44,1,0
76.0,3.1,4.1,33,0,0
53.6,2.1,3.1,40,1,0
66.8,4.8,3.6,34,0,0
76.7,2.3,4.2,38,0,0
57.7,2.5,3.2,32,1,0
80.6,2.9,2.8,43,1,0
66.0,4.1,1.6,42,0,1
70.6,3.2,2.9,50,0,0
66.0,2.3,3.7,26,0,1
100.0,4.1,3.8,28,0,0
74.8,3.7,3.4,38,0,0
59.1,3.6,2.6,33,0,1
87.3,3.7,1.4,37,0,1
56.7,4.9,2.6,39,1,0
78.1,4.7,2.8,52,0,0
45.6,2.7,2.7,40,1,0
55.1,4.3,3.5,34,1,1
78.0,3.5,4.6,51,1,0
86.1,3.5,3.1,31,1,0
77.6,2.0,2.8,46,1,0
73.3,3.1,2.8,32,1,0
70.5,2.6,3.1,41,0,1
52.8,3.8,2.3,43,0,0
64.2,3.9,3.1,31,1,0
68.1,1.7,3.4,51,0,1
90.9,3.2,3.2,42,0,1
80.2,4.0,3.4,39,1,0
48.6,3.1,3.3,37,0,0
79.9,3.7,1.6,40,1,0
69.2,3.4,3.5,41,0,0
64.8,3.4,2.5,37,0,1
84.2,3.0,2.1,36,0,1
90.5,2.3,2.1,41,1,1
89.0,2.4,3.3,32,0,0
62.4,3.7,2.8,47,1,0
70.4,3.2,1.7,52,0,0
80.0,3.1,3.4,35,0,0
89.6,2.9,1.8,38,0,0
67.8,3.0,3.1,36,0,1
72.2,3.9,3.2,36,0,0
58.4,3.0,3.7,50,0,1
57.1,2.3,4.4,43,0,0
87.2,3.7,1.9,31,0,1
95.3,3.1,3.0,36,1,0
73.9,3.2,2.8,40,0,0
90.1,4.3,3.3,31,0,0
80.4,3.2,3.2,56,0,0
65.3,3.4,2.7,36,1,0
80.4,2.4,2.6,32,1,1
98.1,3.0,2.1,43,1,0
74.5,3.6,3.8,41,0,0
98.5,2.1,3.4,46,1,0
35.7,3.3,3.7,35,1,0
87.3,3.3,2.8,33,1,0
76.3,3.2,2.5,40,0,1
70.5,3.9,2.1,44,1,0
76.4,3.4,3.3,47,0,0
45.2,4.2,2.2,51,0,1
71.7,2.5,4.5,46,0,0
80.4,3.3,2.0,34,0,1
97.2,3.3,3.2,41,0,0
67.2,2.5,4.3,33,0,0
62.9,3.9,3.5,41,1,0
67.5,4.8,3.1,48,0,0
88.7,3.2,2.2,39,0,1
79.9,3.6,1.9,38,0,0
67.1,3.3,3.6,43,1,0
82.7,2.7,4.2,40,0,0
76.5,1.9,2.6,48,0,1
89.5,2.7,2.1,42,1,1
64.5,2.2,1.0,36,0,1
70.1,4.4,2.2,40,0,0
69.1,3.1,2.9,33,0,0
53.0,3.0,4.3,37,0,0
79.4,3.8,3.5,37,0,0
78.9,2.4,3.2,44,0,0
75.1,2.7,2.7,40,1,1
71.5,3.2,2.5,50,0,0
53.8,3.9,4.1,43,0,0
68.7,3.6,3.2,41,1,0
69.9,3.4,1.3,48,0,0
63.0,3.3,2.5,55,0,0
72.6,3.5,2.3,46,0,0
81.1,3.3,2.6,36,0,1
100.0,2.5,3.5,32,0,0
77.6,3.2,2.9,48,1,0
78.9,2.4,2.9,32,0,1
73.9,3.3,4.1,33,0,0
46.2,2.9,2.4,50,1,1
74.6,5.0,4.5,43,1,0
75.9,3.2,2.5,25,0,0
100.0,2.2,3.1,38,1,0
72.1,3.1,2.8,51,0,0
79.5,3.6,3.1,25,0,0
74.5,4.4,3.4,38,0,0
57.5,2.8,3.3,42,0,0
92.1,2.1,2.4,44,0,1
86.3,3.8,2.1,42,0,0
86.9,2.2,5.0,48,0,0
61.4,2.9,2.6,46,0,0
96.0,3.0,3.6,54,0,0
54.0,3.2,1.7,40,1,1
83.8,3.7,2.8,37,1,0
100.0,2.7,2.9,45,0,0
60.1,3.0,3.4,45,1,1
66.5,3.2,1.0,36,0,1
76.5,3.3,3.1,49,0,0
67.4,3.3,2.1,47,0,0
51.7,3.5,3.3,34,0,0
76.0,3.8,2.2,38,1,0
59.1,3.5,2.3,39,1,0
82.1,3.5,2.8,38,0,0
61.2,2.1,2.2,29,0,1
98.2,3.2,2.6,30,0,1
63.3,3.5,2.0,42,0,1
70.2,3.7,1.5,40,1,0
87.2,2.7,3.8,41,0,0
56.5,2.7,2.0,47,0,1
78.4,2.8,2.9,46,1,0
94.6,3.6,3.6,34,0,0
50.9,3.9,2.5,34,1,0
77.8,2.9,2.3,21,0,0
78.9,3.8,3.2,29,0,0
86.7,3.3,3.9,37,0,0
56.4,3.1,2.1,44,0,1
55.2,3.1,2.9,37,1,0
82.8,3.7,1.6,56,0,1
79.5,3.4,2.7,45,1,0
78.8,4.8,3.0,37,0,0
80.2,2.6,2.3,44,1,0
64.8,3.6,2.6,46,1,1
78.5,2.8,1.9,36,0,1
79.4,2.6,3.1,42,0,0
64.3,3.2,3.8,50,1,0
100.0,3.3,2.1,39,0,0
82.1,5.0,2.5,38,1,0
57.1,3.1,3.4,49,0,0
84.8,2.4,4.0,31,1,0
60.4,3.4,1.8,46,0,1
86.8,1.7,2.9,37,1,1
92.4,3.1,3.2,44,0,0
62.7,3.2,2.9,41,1,0
89.5,3.8,1.0,46,0,1
81.2,3.9,3.4,32,0,0
87.3,2.8,4.2,40,1,0
100.0,3.1,3.1,41,1,0
71.3,2.7,2.2,40,1,0
63.7,2.4,2.6,41,0,0
61.7,3.4,4.4,36,0,0
62.8,2.3,3.7,33,0,1
73.8,2.9,3.5,51,0,0
80.1,2.5,3.3,49,0,0
79.2,3.6,2.5,40,0,0
87.4,4.5,2.8,37,1,0
75.2,2.3,2.9,52,0,1
96.8,1.9,3.4,37,1,1
71.0,3.1,4.2,39,0,0
100.0,3.2,3.9,39,1,0
84.4,3.4,1.9,40,0,0
62.1,2.9,3.2,33,1,0
58.9,3.1,3.6,35,0,1
82.2,3.5,3.5,51,1,0
71.6,3.9,2.5,34,0,0
85.7,1.8,5.0,38,0,0
82.1,2.9,2.0,39,0,1
73.9,3.3,2.1,41,0,0
62.3,2.6,3.2,29,1,0
52.3,4.4,4.7,35,0,0
68.3,2.8,2.3,37,1,1
87.8,3.2,2.8,44,0,1
78.2,3.6,3.9,48,1,0
56.3,2.8,3.0,49,1,0
77.6,1.9,2.7,38,0,0
80.8,2.9,3.5,32,0,0
61.7,3.9,3.2,36,0,0
77.3,3.0,3.8,32,0,0
75.9,2.6,4.0,36,0,0
57.9,3.8,3.2,37,0,0
80.4,3.0,3.2,35,0,0
83.4,2.8,3.2,60,0,0
91.2,3.3,3.4,40,0,0
90.8,3.7,3.0,46,0,0
54.3,4.9,3.0,38,0,0
60.9,3.8,4.0,38,0,0
82.7,4.0,4.2,33,0,0
82.7,2.8,1.8,42,0,0
82.7,2.5,3.0,37,1,1
100.0,3.2,2.4,41,0,0
83.6,3.3,2.8,43,1,0
92.0,2.4,3.3,47,0,0
89.3,3.1,3.5,34,0,0
84.8,3.5,2.9,49,0,0
70.3,3.5,1.5,38,0,1
86.4,3.6,2.2,45,1,0
63.4,3.4,3.7,42,0,0
71.4,2.8,1.0,51,1,1
67.7,2.8,3.9,46,0,1
76.2,2.4,3.4,37,0,0
100.0,4.4,4.1,26,0,0
47.0,3.2,2.8,40,0,1
85.3,3.0,1.4,36,0,1
50.8,2.5,3.3,51,0,0
67.9,5.0,4.0,31,1,0
91.3,2.4,3.7,42,1,0
76.0,2.9,2.5,49,0,1
58.8,3.5,3.1,42,0,0
64.3,3.6,2.6,49,0,0
85.2,3.9,2.3,52,0,0
64.0,4.5,3.8,44,1,0
78.2,3.6,2.0,45,0,1
75.7,2.5,2.3,37,1,0
65.2,3.0,2.1,32,1,0
100.0,3.4,1.8,37,0,1
84.5,4.6,3.1,37,0,0
44.6,2.2,3.9,29,0,0
77.8,4.0,2.9,47,0,0
65.1,3.3,1.8,45,0,1
87.8,3.8,3.7,41,1,0
63.1,3.1,4.3,37,0,0
73.3,2.6,2.5,44,1,0
82.6,3.7,2.6,45,1,0
88.0,3.7,3.4,29,1,0
57.0,3.9,4.3,41,0,0
70.0,3.2,2.6,45,1,0
67.9,2.8,1.9,33,0,1
